context,character,character_decision_num,decision_num,dimension,option_idx,direction,affil_score,power_score,semantic_affil_update,semantic_power_update,semantic_intended_update,semantic_other_update,direction_correct,specificity_correct
previous_slide,assistant,1,32,power,1,-1,-0.8543339552370248,-0.5464459912423701,0.41158824634029023,-0.6816217525064763,-0.6816217525064763,0.41158824634029023,1.0,1.0
previous_slide,assistant,1,32,power,2,1,-1.6775104479176053,0.8167975137705824,-0.41158824634029023,0.6816217525064763,0.6816217525064763,-0.41158824634029023,1.0,1.0
previous_slide,assistant,2,34,affil,1,1,0.7982470313484513,0.8919864318802283,1.0970513110503088,0.5684726101926749,1.0970513110503088,0.5684726101926749,1.0,1.0
previous_slide,assistant,2,34,affil,2,-1,-1.3958555907521664,-0.24495878850512143,-1.0970513110503088,-0.5684726101926749,-1.0970513110503088,-0.5684726101926749,1.0,1.0
previous_slide,assistant,3,35,affil,1,1,0.7882520057169234,0.7295380560947294,0.9974398843530741,0.966463345451251,0.9974398843530741,0.966463345451251,1.0,1.0
previous_slide,assistant,3,35,affil,2,-1,-1.2066277629892246,-1.2033886348077725,-0.9974398843530741,-0.966463345451251,-0.9974398843530741,-0.966463345451251,1.0,1.0
previous_slide,assistant,4,37,power,1,-1,0.4195035837373247,0.19330507843920888,-0.2478667651334195,-0.3506081429195378,-0.3506081429195378,-0.2478667651334195,1.0,1.0
previous_slide,assistant,4,37,power,2,1,0.9152371140041637,0.8945213642782844,0.24786676513341954,0.3506081429195378,0.3506081429195378,0.24786676513341954,1.0,1.0
previous_slide,assistant,5,38,power,1,1,0.07545229478628747,0.586307243177158,0.12914900339870725,0.35194959867368936,0.35194959867368936,0.12914900339870725,1.0,1.0
previous_slide,assistant,5,38,power,2,-1,-0.182845712011127,-0.11759195417022075,-0.12914900339870725,-0.35194959867368936,-0.35194959867368936,-0.12914900339870725,1.0,1.0
